heading,first,last,file,leg_title
Animals (Low-Welfare Activities Abroad) Bill - Second Reading,uk.org.publicwhip/lords/2023-07-14a.1994.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml,Animals (Low-Welfare Activities Abroad) Act 2023
Coinage (Measurement) Act 2011,uk.org.publicwhip/lords/2011-07-15a.983.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-07-15a.xml,Coinage (Measurement) Act 2011
Commons Bill [HL],uk.org.publicwhip/lords/2005-07-20b.1487.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-07-20b.xml,Commons Act 2006
Commonwealth Development Corporation Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2017-02-09a.1865.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-09a.xml,Commonwealth Development Corporation Act 2017
Company Law Reform Bill [HL],uk.org.publicwhip/lords/2006-01-11c.180.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-11c.xml,Companies Act 2006
Constitutional Reform and Governance Bill ,uk.org.publicwhip/lords/2010-03-24a.959.0,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-24a.xml,Constitutional Reform and Governance Act 2010
Consumer Insurance (Disclosure and Representations) Bill [HL] — Second Reading,uk.org.publicwhip/lords/2011-06-15a.789.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-15a.xml,Consumer Insurance (Disclosure and Representations) Act 2012
Contingencies Fund Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2020-03-25a.1791.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-03-25a.xml,Contingencies Fund Act 2021
Copyright (Visually Impaired Persons) Bill,uk.org.publicwhip/lords/2002-07-12a.902.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-07-12a.xml,Copyright (Visually Impaired Persons) Act 2002 (repealed)
Corporation Tax Bill,uk.org.publicwhip/lords/2010-03-02a.1409.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-02a.xml,Corporation Tax Act 2010
Counter-Terrorism and Border Security Bill - Second Reading,uk.org.publicwhip/lords/2018-10-09c.14.9,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-09c.xml,Counter-Terrorism and Border Security Act 2019
Counter-Terrorism and Border Security Bill - Second Reading (Continued),uk.org.publicwhip/lords/2018-10-09c.74.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-09c.xml,Counter-Terrorism and Border Security Act 2019
Crime and Security Bill,uk.org.publicwhip/lords/2010-03-29a.1225.9,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-29a.xml,Crime and Security Act 2010
Criminal Finances Bill - Second Reading,uk.org.publicwhip/lords/2017-03-09a.1475.0,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-03-09a.xml,Criminal Finances Act 2017
Data Retention and Investigatory Powers Bill — Second Reading,uk.org.publicwhip/lords/2014-07-16a.599.11,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-07-16a.xml,Data Retention and Investigatory Powers Act 2014
Dealing in Cultural Objects (Offences) Bill,uk.org.publicwhip/lords/2003-09-12a.543.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-09-12a.xml,Dealing in Cultural Objects (Offences) Act 2003
Debt Relief (Developing Countries) Bill,uk.org.publicwhip/lords/2010-04-08a.1695.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-04-08a.xml,Debt Relief (Developing Countries) Act 2010
Domestic Abuse Bill - Second Reading,uk.org.publicwhip/lords/2021-01-05d.19.8,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-05d.xml,Domestic Abuse Act 2021
Elections Bill,uk.org.publicwhip/lords/2001-04-05a.914.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-04-05a.xml,Elections Act 2001
Electronic Trade Documents Bill [HL] - Second Reading,uk.org.publicwhip/lords/2022-11-30a.1783.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-30a.xml,Electronic Trade Documents Act 2023
Employment Bill [HL],uk.org.publicwhip/lords/2008-01-07b.636.8,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-01-07b.xml,Employment Act 2008
Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill,uk.org.publicwhip/lords/2011-05-13a.1106.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-13a.xml,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Act 2011
European Union (Accessions) Bill,uk.org.publicwhip/lords/2003-07-03a.1065.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-07-03a.xml,European Union (Accessions) Act 2003 (repealed)
European Union (Future Relationship) Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2020-12-30b.1805.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-12-30b.xml,European Union (Future Relationship) Act 2020
Financial Services and Markets Bill - Second Reading,uk.org.publicwhip/lords/2023-01-10b.1331.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-01-10b.xml,Financial Services and Markets Act 2023
Flood and Water Management Bill,uk.org.publicwhip/lords/2010-02-24a.1025.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-02-24a.xml,Flood and Water Management Act 2010
Green Energy (Definition and Promotion) Bill,uk.org.publicwhip/lords/2009-10-13a.186.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-10-13a.xml,Green Energy (Definition and Promotion) Act 2009
Health and Social Care (National Data Guardian) Bill - Second Reading,uk.org.publicwhip/lords/2018-10-26a.1065.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-26a.xml,Health and Social Care (National Data Guardian) Act 2018
Income Tax Bill,uk.org.publicwhip/lords/2007-03-19b.1001.265,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-03-19b.xml,Income Tax Act 2007
Local Government Bill,uk.org.publicwhip/lords/2003-04-03a.1515.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-04-03a.xml,Local Government Act 2003
London Olympic Games and Paralympic Games (Amendment) Bill,uk.org.publicwhip/lords/2011-10-03a.973.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-10-03a.xml,London Olympic Games and Paralympic Games (Amendment) Act 2011
Marine and Coastal Access Bill [HL],uk.org.publicwhip/lords/2008-12-15a.647.6,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-12-15a.xml,Marine and Coastal Access Act 2009
Marriage (Wales) Bill [HL],uk.org.publicwhip/lords/2009-12-11a.1290.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-12-11a.xml,Marriage (Wales) Act 2010
Medicines and Medical Devices Bill - Second Reading,uk.org.publicwhip/lords/2020-09-02a.371.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-09-02a.xml,Medicines and Medical Devices Act 2021
Mutuals’ Redeemable and Deferred Shares Bill [HL],uk.org.publicwhip/lords/2014-10-24a.916.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-10-24a.xml,Mutuals' Deferred Shares Act 2015
Northern Ireland (St Andrews Agreement) Bill,uk.org.publicwhip/lords/2006-11-22c.345.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-11-22c.xml,Northern Ireland (St Andrews Agreement) Act 2007
Northern Ireland Bill,uk.org.publicwhip/lords/2009-03-09a.955.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-03-09a.xml,Northern Ireland Act 2009
Northern Ireland Budget (Anticipation and Adjustments) (No. 2) Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2019-03-12b.1012.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-03-12b.xml,Northern Ireland Budget (Anticipation and Adjustments) Act 2019 (repealed)
Northern Ireland Budget Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2017-11-14c.1980.7,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-11-14c.xml,Northern Ireland Budget Act 2018 (repealed)
Patents Bill [HL],uk.org.publicwhip/lords/2004-01-26a.32.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-01-26a.xml,Patents Act 2004
Pension Schemes Bill [HL] - Second Reading,uk.org.publicwhip/lords/2016-11-01b.559.6,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-11-01b.xml,Pension Schemes Act 2017
Policing and Crime Bill,uk.org.publicwhip/lords/2009-06-03a.219.13,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-06-03a.xml,Policing and Crime Act 2009
Public Service Pensions Bill — Second Reading,uk.org.publicwhip/lords/2012-12-19a.1555.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-12-19a.xml,Public Service Pensions Act 2013
Savings Accounts and Health in Pregnancy Grant Bill,uk.org.publicwhip/lords/2010-12-07a.128.6,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-12-07a.xml,Savings Accounts and Health in Pregnancy Grant Act 2010
Scotland Bill,uk.org.publicwhip/lords/2011-09-06a.156.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-09-06a.xml,Scotland Act 2012
Small Charitable Donations and Childcare Payments Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2016-12-12a.1107.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-12-12a.xml,Small Charitable Donations and Childcare Payments Act 2017
Social Security (Additional Payments) Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2022-06-27a.471.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-06-27a.xml,Social Security (Additional Payments) Act 2022
Social Security (Up-rating of Benefits) Bill - Second Reading,uk.org.publicwhip/lords/2020-10-15a.1213.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-10-15a.xml,Social Security (Up-rating of Benefits) Act 2020
Stamp Duty Land Tax (Temporary Relief) Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2023-01-18a.1836.2,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-01-18a.xml,Stamp Duty Land Tax (Temporary Relief) Act 2023
Strikes (Minimum Service Levels) Bill - Second Reading,uk.org.publicwhip/lords/2023-02-21a.1561.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-02-21a.xml,Strikes (Minimum Service Levels) Act 2023
Strikes (Minimum Service Levels) Bill - Second Reading (Continued),uk.org.publicwhip/lords/2023-02-21a.1622.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-02-21a.xml,Strikes (Minimum Service Levels) Act 2023
Supported Housing (Regulatory Oversight) Bill - Second Reading,uk.org.publicwhip/lords/2023-04-21a.941.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-21a.xml,Supported Housing (Regulatory Oversight) Act 2023
Taxation (International and Other Provisions) Bill,uk.org.publicwhip/lords/2010-02-24a.1073.6,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-02-24a.xml,Taxation (International and Other Provisions) Act 2010
Taxation of Pensions Bill,uk.org.publicwhip/lords/2014-12-16a.164.3,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-12-16a.xml,Taxation of Pensions Act 2014
Technical and Further Education Bill - Second Reading,uk.org.publicwhip/lords/2017-02-01a.1206.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-01a.xml,Technical and Further Education Act 2017
Trade (Australia and New Zealand) Bill - Second Reading,uk.org.publicwhip/lords/2023-01-09a.1230.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-01-09a.xml,Trade (Australia and New Zealand) Act 2023
Traffic Management Bill,uk.org.publicwhip/lords/2004-04-01a.1530.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-04-01a.xml,Traffic Management Act 2004
Transport Bill,uk.org.publicwhip/lords/2000-06-05a.924.5,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-06-05a.xml,Transport Act 2000
Veterans Advisory and Pensions Committees Bill - Second Reading,uk.org.publicwhip/lords/2023-07-14a.2006.1,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml,Veterans Advisory and Pensions Committees Act 2023
Waste and Emissions Trading Bill [HL],uk.org.publicwhip/lords/2002-12-03a.1032.7,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-12-03a.xml,Waste and Emissions Trading Act 2003
Welfare Reform and Work Bill,uk.org.publicwhip/lords/2015-11-17a.28.6,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-11-17a.xml,Welfare Reform and Work Act 2016
Wreck Removal Convention Bill,uk.org.publicwhip/lords/2011-05-13a.1119.4,,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-13a.xml,Wreck Removal Convention Act 2011
